trading_pair,date,open,high,low,close,volume
DOGE-USD,7/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,7/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,6/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/31/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,5/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/20/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/19/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/18/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/17/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/16/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/15/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/14/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/13/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/12/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/11/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/10/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/9/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/8/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/7/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/6/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/5/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/4/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/3/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/2/2020 19:00:00,None,None,None,None,None
DOGE-USD,4/1/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/31/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/30/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/29/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/28/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/27/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/26/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/25/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/24/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/23/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/22/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/21/2020 19:00:00,None,None,None,None,None
DOGE-USD,3/20/2020 19:00:00,None,None,None,None,None
